Phlebovirus riftense	Complete	Sudan 77-2007	S	JQ820482	1689	49.141502	1689	2007-11	2007	Sudan	Africa	Homo sapiens	Human	Human
Phlebovirus riftense	Complete	2007001811	M	EU574040	3885	45.714287	3885	2006-12-01	2006	Kenya	Africa	caprine	Goat	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000618	M	EU574042	3885	45.611324	3885	2007-01-29	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007001809	M	EU574041	3885	45.688545	3885	2006-12-01	2006	Kenya	Africa	caprine	Goat	Nonhuman Mammal
Phlebovirus riftense	Complete	2007001564	M	EU574044	3885	45.662807	3885	2007-01-29	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007001602	M	EU574043	3885	45.662807	3885	2007-01-30	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007001443	M	EU574045	3885	45.688545	3885	2007-01-31	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007001292	M	EU574046	3885	45.637066	3885	2007-01-31	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007001107	M	EU574047	3885	45.611324	3885	2007-01-25	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000611	M	EU574048	3885	45.637066	3885	2007-01-29	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000608	M	EU574049	3885	45.714287	3885	2007-01-29	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000473	M	EU574050	3885	45.714287	3885	2007-01-26	2007	Kenya	Africa	ovine	Sheep	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000225	M	EU574051	3885	45.714287	3885	2007-01-16	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000224	M	EU574052	3885	45.714287	3885	2007-01-16	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000223	M	EU574053	3885	45.714287	3885	2007-01-16	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000222	M	EU574054	3885	45.714287	3885	2007-01-16	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000094	M	EU574055	3885	45.714287	3885	2007-01-12	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007000080	M	EU574056	3885	45.688545	3885	2007-01-12	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007004194	S	EU574057	1689	49.141502	1689	2007-05-14	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007004193	S	EU574058	1691	48.846836	1691	2007-04-23	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007003644	S	EU574059	1691	48.96511	1691	2007-02-07	2007	Kenya	Africa	ovine	Sheep	Nonhuman Mammal
Phlebovirus riftense	Complete	2007003081	S	EU574060	1691	48.90597	1691	2007-02-27	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007002820	S	EU574061	1691	48.846836	1691	2007-02-09	2007	Kenya	Africa	Buffalo	Buffalo	Nonhuman Mammal
Phlebovirus riftense	Complete	2007002482	S	EU574062	1691	48.90597	1691	2007-02-21	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
Phlebovirus riftense	Complete	2007002476	S	EU574063	1691	48.90597	1691	2007-02-21	2007	Kenya	Africa	Bovine	Cow	Nonhuman Mammal
